identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L001,Apollonius Rhodius,Apollonius Rhodius. Argonautica,1912,true,"",true,New title: Argonautica,http://books.google.com/books?id=O5ANAAAAIAAJ
L002,Appian,Roman History I: Books 1-8.1,1912,true,"",true,"",http://www.archive.org/details/appiansromanhist01appi http://books.google.com/books?id=LHg0u8q9bL8C
L003,Appian,Roman History II: Books 8.2-12,1912,true,"",true,"",http://www.archive.org/details/appiansromanhist02appi
L004,Appian,"Roman History III: The Civil Wars, Books 1-3.26",1913,true,"",true,"",http://www.archive.org/details/appiansromanhist03appi
L005,Appian,"Roman History IV: The Civil Wars, Books 3.27-5",1913,true,"",true,"",http://www.archive.org/details/appiansromanhist04appi http://books.google.com/books?id=Xex81ufLfoIC
L006,Catullus,Catullus. Tibullus. Pervigilium Veneris,,,"",true,"",""
L007N,Cicero,Letters to Atticus I,1912,true,"",true,New title: Volume XXII: Letters to Atticus 1-89,http://www.archive.org/details/letterstoatticus01ciceuoft http://books.google.com/books?id=4yW3YNAWmwQC
L008N,Cicero,Letters to Atticus II,1913,true,"",true,New title: Volume XXIII: Letters to Atticus 90-165A,http://www.archive.org/details/letterstoatticus02ciceuoft http://books.google.com/books?id=dMyx1LfFZoQC
L009,Euripides,Euripides I: Iphigenia at Aulis. Rhesus. Hecuba. The Daughters of Troy. Helen,1916,true,"",true,New title: Volume III: Suppliant Women. Electra. Heracles,http://www.archive.org/details/euripidesway01euriuoft http://books.google.com/books?id=GmRiAAAAMAAJ
L010N,Euripides,Euripides II: Electra. Orestes. Iphigeneia in Taurica. Andromache. Cyclops,1912,true,"",true,New title: Volume IV: Trojan Women. Iphigenia among the Taurians. Ion,http://www.archive.org/details/euripideswitheng02euri http://books.google.com/books?id=ti5JAAAAYAAJ
L011N,Euripides,Euripides III: Bacchanals. Madness of Hercules. Children of Hercules. Phoenician Maidens. Suppliants,1912,true,"",true,New title: Volume V: Helen. Phoenician Women. Orestes,http://www.archive.org/details/euripidesway03euriuoft http://books.google.com/books?id=KmViAAAAMAAJ
L012,Euripides,Euripides IV: Ion. Hippolytus. Medea. Alcestis,1912,true,"",true,New title: Volume I: Cyclops. Alcestis. Medea,http://www.archive.org/details/euripidesway04euriuoft http://books.google.com/books?id=gS9JAAAAYAAJ
L013,Julian,Julian I: Orations 1-5,1913,true,"",true,New title: Volume I: Orations 1-5,http://books.google.com/books?id=vmZiAAAAMAAJ
L014,Lucian,Lucian I: Phalaris. Hippias or The Bath. Dionysus. Heracles. Amber or The Swans. The Fly. Nigrinus. Demonax. The Hall. My Native Land. Octogenarians. A True Story. Slander. The Consonants at Law. The Carousal (Symposium) or The Lapiths,1913,true,"",true,New title: Volume I: Phalaris. Hippias or The Bath. Dionysus. Heracles. Amber or The Swans. The Fly. Nigrinus. Demonax. The Hall. My Native Land. Octogenarians. A True Story. Slander. The Consonants at Law. The Carousal (Symposium) or The Lapiths,http://www.archive.org/details/lucianha01luciuoft http://books.google.com/books?id=Y2tiAAAAMAAJ
L015,Petronius,Satyricon. Apocolocyntosis,1913,true,"",true,"",http://books.google.com/books?id=SXlfAAAAMAAJ
L016N,Philostratus,Life of Apollonius of Tyana I,1912,true,"",true,"New title: Apollonius of Tyana I: Life of Apollonius of Tyana, Books 1-4",http://books.google.com/books?id=nzghyc2nJbMC
L017N,Philostratus,Life of Apollonius of Tyana II,1912,true,"",true,"New title: Apollonius of Tyana II: Life of Apollonius of Tyana, Books 5-8",http://books.google.com/books?id=sVu2B54Pq4EC
L018N,Propertius,Propertius,1916,true,"",true,New title: Elegies,http://books.google.com/books?id=AGgQnqs5_yUC
L019,Quintus Smyrnaeus,Fall of Troy,1913,true,"",true,New title: The Fall of Troy,http://www.archive.org/details/falloftroy00quin http://books.google.com/books?id=dzuucsTbUXcC
L020,Sophocles,Sophocles I: Oedipus the King. Oedipus at Colonus. Antigone,1912,true,"",true,New title: Volume I: Ajax. Electra. Oedipus Tyrannus,http://books.google.com/books?id=5qUNAAAAIAAJ
L021,Sophocles,Sophocles II: Ajax. Electra. Trachiniae. Philoctetes.,1913,true,"",true,New title: Volume II: Antigone. The Women of Trachis. Philoctetes. Oedipus at Colonus,http://books.google.com/books?id=JKYNAAAAIAAJ
L022N,Terence,Terence I: The Lady of Andeos. The Self-Tormentor. The Eunich,1912,true,"",true,New title: Volume I: The Woman of Andros. The Self-Tormentor. The Eunuch,http://books.google.com/books?id=0BsMAAAAIAAJ
L023N,Terence,Terence II: Phormio. The Mother-in-Law. The Brothers,1920,true,"",true,New title: Volume II: Phormio. The Mother-in-Law. The Brothers,http://www.archive.org/details/terence00tereuoft http://books.google.com/books?id=IRwMAAAAIAAJ
L024N,"",Apostolic Fathers I: I Clement. II Clement. Ignatiius. Polycarp. Didache. Barnaba,1919,true,"",true,New title: Apostolic Fathers I: I Clement. II Clement. Ignatius. Polycarp. Didache,http://www.archive.org/details/theapostolicfath00unknuoft http://books.google.com/books?id=iqoNAAAAIAAJ
L025N,"",Apostolic Fathers II: Shepherd of Hermas. Martyrdom of Polycarp. Epistle to Diognetus.,1917,true,"",true,New title: Apostolic Fathers II: Epistle of Barnabas. Papias and Quadratus. Epistle to Diognetus. The Shepherd of Hermas,http://books.google.com/books?id=lqsNAAAAIAAJ
L026,Augustine,Confessions I: Books 1-8,1912,true,"",true,"",http://www.archive.org/details/staugustinesconf01augu http://books.google.com/books?id=6zEMAQAAIAAJ
L027,Augustine,Confessions II: Books 9-13,1912,true,"",true,"",http://www.archive.org/details/staugustinesconf02augu
L028,"",Greek Bucolic Poets,1912,true,"",true,New title: Greek Bucolic Poets: Theocritus. Bion. Moschus,http://books.google.com/books?id=IMrCpKxmgCUC
L029,Julian,"Julian II: Orations 6-8. Letters to Themistius, To the Senate and People of Athens, To a Priest. The Caesars. Misopogon",1913,true,"",true,"New title: Volume II: Orations 6-8. Letters to Themistius, To the Senate and People of Athens, To a Priest. The Caesars. Misopogon",http://www.archive.org/details/worksofemperorju02juliuoft http://books.google.com/books?id=jWdiAAAAMAAJ
L030,Cicero,De Officiis,1913,true,"",true,New title: Volume XXI: On Duties,http://www.archive.org/details/deofficiiswithen00ciceuoft http://books.google.com/books?id=tKb-ah7iIgAC
L031,Suetonius,Suetonius I: Julius. Augustus. Tiberius. Gaius. Caligula,1913,true,"",true,New title: Lives of the Caesars I: Julius. Augustus. Tiberius. Gaius. Caligula,http://books.google.com/books?id=NJv_zeFbFi4C
L032,Dio Cassius,Dio's Roman History I: Fragments of Books 1-11,1914,true,"",true,"",http://books.google.com/books?id=0FaIMECEZgoC
L033N,Horace,Volume I: Odes and Epodes,,,"",false,"",""
L034,John Damascene,Barlaam and Ioasaph,1914,true,"",true,"",http://books.google.com/books?id=RVRFAAAAYAAJ
L035,Tacitus,"Dialogus, Agricola, Germania",1914,true,"",true,New title: Volume I: Agricola. Germania. Dialogue on Oratory,http://books.google.com/books?id=zB0cAQAAIAAJ
L036,Plato,Euthyphro. Apology. Crito. Phaedo. Phaedrus,1913,true,"",true,New title: Volume I: Euthyphro. Apology. Crito. Phaedo. Phaedrus,http://www.archive.org/details/plato01plat http://books.google.com/books?id=qFIMAAAAIAAJ
L037,Dio Cassius,Dio's Roman History II: Fragments of Books 12-35 and of Uncertain Reference,1914,true,"",true,"",http://books.google.com/books?id=wcdiAAAAMAAJ
L038,Suetonius,"Suetonius II: Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. Poets (Terence. Virgil. Horace. Tibullus. Persius. Lucan). Lives of Pliny the Elder and Passienus Crispus",1920,true,"",true,"New title: Lives of the Caesars II: Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. Poets (Terence. Virgil. Horace. Tibullus. Persius. Lucan). Lives of Pliny the Elder…",http://www.archive.org/details/suetonius02suetuoft http://books.google.com/books?id=s6b9HA_WE28C
L039,Caesar,The Civil Wars,1914,true,"",true,New title: Volume II: The Civil Wars,http://books.google.com/books?id=PaQNAAAAIAAJ
L040,Cicero,De Finibus Bonorum et Malorum,1914,true,"",true,New title: Volume XVII: On Ends,http://www.archive.org/details/definibusbonoru02cicegoog http://books.google.com/books?id=C0ZuoEMeeeAC
L041,Ovid,Heroides. Amores,1914,true,"",true,New title: Volume I: Heroides. Amores,http://www.archive.org/details/heroidesamores00ovid
L042,Ovid,Metamorphoses I: Books 1-8,1951,false,true,true,"New title: Volume III: Metamorphoses, Books 1-8",http://www.archive.org/details/metamorphoses01oviduoft
L043,Ovid,Metamorphoses II: Books 9-15,1916,true,"",true,"New title: Volume IV: Metamorphoses, Books 9-15",http://books.google.com/books?id=gWhfAAAAMAAJ
L044,Apuleius,The Golden Ass,1922,true,"",true,New title: Metamorphoses (The Golden Ass) I: Books 1-6,http://www.archive.org/details/goldenassbeingme00apuliala
L045,Achilles Tatius,Clitophon and Leucippe,1917,true,"",true,New title: The Adventures of Leucippe and Clitophon,http://books.google.com/books?id=szH1UVBtSzcC
L046,Plutarch,Lives I: Theseus and Romulus. Lycurgus and Numa. Solon and Publicola,1914,true,"",true,"",http://www.archive.org/details/plutarchslives01plut2 http://books.google.com/books?id=xWYMAAAAIAAJ
L047,Plutarch,Lives II: Themistocles and Camillus. Aristides and Cato Major. Cimon and Lucullus,1914,true,"",true,"",http://www.archive.org/details/plutarchslives02plut2 http://books.google.com/books?id=xmYMAAAAIAAJ
L048,Procopius,"Procopius I: History of the Wars, Books 1-2. (Persian War)",1914,true,"",true,"New title: Volume I: History of the Wars, Books 1-2. (Persian War)",http://www.archive.org/details/procopiuswitheng01procuoft http://books.google.com/books?id=9IQbAAAAMAAJ
L049,Strabo,Geography I: Books 1-2,1917,true,"",true,"",http://www.archive.org/details/geographystrabo01stergoog http://books.google.com/books?id=nqcNAAAAIAAJ
L050,Strabo,Geography II: Books 3-5,,,"",false,"",""
L051,Xenophon,Cyropaedia I: Books 1-4,1914,true,"",true,"New title: Volume V: Cyropaedia, Books 1-4",http://www.archive.org/details/cyropaediawithen01xenouoft http://books.google.com/books?id=gaQNAAAAIAAJ
L052,Xenophon,Cyropaedia II: Books 5-8,1914,true,"",true,"New title: Volume VI: Cyropaedia, Books 5-8",http://www.archive.org/details/cyropaedia03xenogoog http://books.google.com/books?id=I13EUvMSDyIC
L053,Dio Cassius,Dio's Roman History III: Books 36-40,1914,true,"",true,"",http://www.archive.org/details/diosromanhistory03cassuoft http://books.google.com/books?id=3EhhOznnQG0C
L054,Lucian,Lucian II: The Downward Journey or The Tyrant. Zeus Catechized. Zeus Rants. The Dream or The Cock. Prometheus. Icaromenippus or The Sky-man. Timon or The Misanthrope. Charon or The Inspectors. Philosophies for Sale,1919,true,"",true,New title: Volume II: The Downward Journey or The Tyrant. Zeus Catechized. Zeus Rants. The Dream or The Cock. Prometheus. Icaromenippus or The Sky-man. Timon or The Misanthrope. Charon or The Inspectors. Philosophies for Sale,http://www.archive.org/details/lucianhar02luciuoft http://books.google.com/books?id=yslZWHpj424C
L055,Pliny the Younger,Letters I: Books 1-7,1915,true,"",true,"",http://www.archive.org/details/letterswithengli01plinuoft http://books.google.com/books?id=yXhfAAAAMAAJ
L056,Pindar,Odes of Pindar Including the Principal Fragments,1915,true,"",true,New title: Volume I: Olympian Odes. Pythian Odes,http://www.archive.org/details/odesofpindarsand00pinduoft
L057N,Hesiod,Homeric Hymns and Homerica,1914,true,"",true,New title: Theogony. Works and Days. Testimonia,http://www.archive.org/details/hesiodhomerichym00hesiuoft
L058,Marcus Aurelius,"Communings with Himself of Marcus Aurelius Antoninus, Emperor of Rome",1916,true,"",true,New title: Marcus Aurelius,http://www.archive.org/details/thecommuningswit00marcuoft http://books.google.com/books?id=H51fAAAAMAAJ
L059,Pliny the Younger,Letters II: Books 7-10,1915,true,"",true,New title: Letters II: Books 8-10. Panegyricus,http://www.archive.org/details/letterswithengli02plinuoft http://books.google.com/books?id=TTsMAAAAIAAJ
L060,Plautus,Plautus I: Amphitryon. The Comedy of Asses. The Pot of Gold. The Two Bacchises. The Captives,1916,true,"",true,New title: Volume I: Amphitryon. The Comedy of Asses. The Pot of Gold. The Two Bacchises. The Captives,http://books.google.com/books?id=7qKEAAAAIAAJ
L061,Plautus,Plautus II: Casina. The Casket Comedy. Curculio. Epidicus. The Two Menaechmuses,1917,true,"",true,New title: Volume II: Casina. The Casket Comedy. Curculio. Epidicus. The Two Menaechmuses,http://books.google.com/books?id=tIZfAAAAMAAJ
L062N,Seneca,Tragedies I: Hercules Furens. Troades. Medea. Hippolytus. Oedipus,1917,true,"",true,New title: Volume VIII: Tragedies I,http://books.google.com/books?id=S6pM-L1KuD8C
L063N,Virgil,"Eclogues. Georgics. Aeneid, Books 1-6",1916,true,"",true,"New title: Volume I: Eclogues. Georgics. Aeneid, Books 1-6",http://books.google.com/books?id=ERsMAAAAIAAJ&printsec=titlepage
L064N,Virgil,"Aeneid Books 7-12, The Minor Poems",1918,true,"",true,"New title: Volume II: Aeneid Books 7-12, Appendix Vergiliana",http://books.google.com/books?id=ThoMAAAAIAAJ
L065,Plutarch,Lives III: Pericles and Fabius Maximus. Nicias and Crassus,1932,false,true,true,"",http://www.archive.org/details/liveswithenglish03plutuoft
L066,Dio Cassius,Dio's Roman History IV: Books 41-45,1916,true,"",true,"",http://books.google.com/books?id=zVFiAAAAMAAJ
L067,"",Greek Anthology I: Book 1: Christian Epigrams. Book 2: Christodorus of Thebes in Egypt. Book 3: The Cyzicene Epigrams. Book 4: The Proems of the Different Anthologies. Book 5: The Amatory Epigrams. Book 6: The Dedicatory Epigrams,1916,true,"",true,"",http://books.google.com/books?id=XFKEAAAAIAAJ
L068,"",Greek Anthology II: Book 7: Sepulchral Epigrams. Book 8: The Epigrams of St. Gregory the Theologian,1919,true,"",true,"",http://books.google.com/books?id=hBQOAAAAYAAJ
L069,Longus,Daphnis and Chloe. Love Romances and Poetical Fragments. Fragments of the Ninus Romance,1916,true,"",true,"",http://books.google.com/books?id=0b2iZ-ry6iYC
L070,Theophrastus,Enquiry into Plants I: Books 1-5,1916,true,"",true,"",http://books.google.com/books?id=OuAW71tsKL0C
L071,Galen,On the Natural Faculties,1916,true,"",true,"",http://books.google.com/books?id=8HTYJ788kTAC
L072,Caesar,The Gallic War,1919,true,"",true,New title: Volume I: The Gallic War,http://books.google.com/books?id=Ks0bvIN7DPMC
L073,Aristotle,Volume XIX: Nicomachean Ethics,,,"",false,"",""
L074,Boethius,Theological Tractates and The Consolation of Philosophy,1918,true,"",true,"",http://www.archive.org/details/theologicaltract00boet http://books.google.com/books?id=RmVJAAAAMAAJ
L075,Seneca,Ad Lucilium Epistulae Morales I: Letters 1-65,1917,true,"",true,New title: Volume IV: Epistles 1-65,http://www.archive.org/details/adluciliumepistu01sene
L076,Seneca,Ad Lucilium Epistulae Morales II: Letters 66-92,1920,true,"",true,New title: Volume V: Epistles 66-92,http://www.archive.org/details/adluciliumepistu02sene
L077,Seneca,Volume VI: Epistles 93-124,,,"",false,"",""
L078N,Seneca,Tragedies II: Agamemnon. Thyestes. Hercules Oetaeus. Phoenissae. Octavia,1917,true,"",true,New title: Volume IX: Tragedies II,http://www.archive.org/details/tragedies00sene http://books.google.com/books?id=4R1SKQsZQaUC
L079,Theophrastus,Enquiry into Plants II: Books 6-9. Treatise on Odours. Concerning Weather Signs,1916,true,"",true,"",http://www.archive.org/details/enquiryintoplant02theouoft http://books.google.com/books?id=SAasfiFvgd0C
L080,Plutarch,Lives IV: Alcibiades and Coriolanus. Lysander and Sulla,1916,true,"",true,"",http://www.archive.org/details/plutarchslives04plut http://books.google.com/books?id=0SwMAAAAIAAJ
L081,Procopius,"Procopius II: History of the Wars, Books 3-4. (Vandalic War)",1916,true,"",true,"New title: Volume II: History of the Wars, Books 3-4. (Vandalic War)",http://books.google.com/books?id=iNVfAAAAMAAJ
L082,Dio Cassius,Dio's Roman History V: Books 46-50,1960,false,true,true,"",http://www.archive.org/details/diosromanhistory05cassuoft
L083,Dio Cassius,Dio's Roman History VI: Books 51-55,1960,false,true,true,"",http://www.archive.org/details/diosromanhistory06cassuoft
L084,"",Greek Anthology III: The Declamatory Epigrams,1917,true,"",true,"",http://books.google.com/books?id=EhwOAAAAYAAJ
L085,"",Greek Anthology IV: Book 10: The Hortatory and Admonitory Epigrams. Book 11: The Convivial and Satirical Epigrams. Book 12: Strato's Musa Puerilis,1918,true,"",true,"",http://books.google.com/books?id=F41fAAAAMAAJ
L086,"","Greek Anthology V: Book 13: Epigrams in Various Metres. Book 14: Arithmetical Problems, Riddles, Oracles. Book 15: Miscellanea. Book 16: Epigrams of the Planudean Anthology Not in the Palatine Manuscript",1918,true,"",true,"",http://books.google.com/books?id=RIxfAAAAMAAJ
L087,Plutarch,Lives V: Agesilaus and Pompey. Pelopidas and Marcellus,1917,true,"",true,"",http://www.archive.org/details/plutarchslives05plut http://books.google.com/books?id=2GYMAAAAIAAJ
L088,Xenophon,"Hellenica, Books 1-5",1918,true,"",true,"New title: Volume I: Hellenica, Books 1-4",http://www.archive.org/details/xenophonwithengl01xenouoft http://books.google.com/books?id=7w8-5jp2KLwC
L089,Xenophon,"Hellenica, Books 6 and 7. Anabasis, Books 1-3",1921,true,"",true,"New title: Volume II: Hellenica, Books 5-7",http://www.archive.org/details/xenophon05xenogoog http://books.google.com/books?id=QONotJ9t8o0C
L090,Xenophon,"Anabasis, Books 4-7. Symposium and Apology",1922,true,"",true,New title: Volume III: Anabasis,http://www.archive.org/details/xenophon04xenogoog http://books.google.com/books?id=vFA8t__AArcC
L091N,Juvenal,Juvenal and Persius,1928,false,true,true,"",http://www.archive.org/details/juvenalpersiuswi00juveuoft
L092,Clement of Alexandria,The Exhortation to the Greeks. The Rich Man's Salvation. To the Newly Baptized (fragment),1919,true,"",true,"",http://www.archive.org/details/clementofalexand00clem http://books.google.com/books?id=KxY6AAAAMAAJ
L093,Pausanias,Description of Greece I: Books 1-2 (Attica and Corinth),1918,true,"",true,"",http://www.archive.org/details/pausaniasgreece01pausuoft http://books.google.com/books?id=Yah2efjM-NQC
L094,Martial,Epigrams I: Spectacles. Books 1-7,1919,true,"",true,"New title: Epigrams I: Spectacles, Books 1-5",http://www.archive.org/details/martialepigrams01martiala http://books.google.com/books?id=w4ZfAAAAMAAJ
L095,Martial,Epigrams II: Books 8-14,1920,true,"",true,New title: Epigrams II: Books 6-10,http://www.archive.org/details/martialepigrams02martiala http://books.google.com/books?id=6odfAAAAMAAJ
L096,Ausonius,Ausonius I: Books 1-17,1919,true,"",true,New title: Volume I: Poems 1-17,http://www.archive.org/details/deciausonius01ausouoft http://books.google.com/books?id=-dlfAAAAMAAJ
L097N,Cicero,Letters to Atticus III,1961,false,true,true,New title: Volume XXIV: Letters to Atticus 166-281,http://www.archive.org/details/letterstoatticuswins03ciceuoft
L098,Plutarch,Lives VI: Dion and Brutus. Timoleon and Aemilius Paulus,1918,true,"",true,"",http://www.archive.org/details/plutarchslives06plut http://books.google.com/books?id=32YMAAAAIAAJ
L099,Plutarch,Lives VII: Demosthenes and Cicero. Alexander and Caesar,1919,true,"",true,"",http://www.archive.org/details/plutarchslives07plut
L100,Plutarch,Lives VIII: Sertorius and Eumenes. Phocion and Cato the Younger,1919,true,"",true,"",http://www.archive.org/details/plutarchslives08plut http://books.google.com/books?id=0pMMAAAAIAAJ
L101,Plutarch,Lives IX: Demetrius and Antony. Pyrrhus and Gaius Marius,1920,true,"",true,"",http://www.archive.org/details/plutarchslives09plut http://books.google.com/books?id=5GYMAAAAIAAJ
L102,Plutarch,Lives X: Agis and Cleomenes. Tiberius and Gaius Gracchus. Philopoemen and Flamininus,1921,true,"",true,"",http://www.archive.org/details/plutarchslives10plut http://books.google.com/books?id=5WYMAAAAIAAJ
L103,Plutarch,Lives XI: Aratus. Artaxerxes. Galba. Otho. General Index,1926,false,true,true,"",http://www.archive.org/details/plutarchslives11plut
L104,Homer,Odyssey I: Books 1-12,1945,false,true,true,"",http://www.archive.org/details/odysseyh01homeuoft
L105,Homer,Odyssey II: Books 13-24,1919,true,"",true,"",http://books.google.com/books?id=_shfAAAAMAAJ
L106,Aeschines,Speeches,1919,true,"",true,"",http://www.archive.org/details/speechesaeschin00adamgoog http://books.google.com/books?id=WzXz-4u6YXoC
L107,Procopius,"Procopius III: History of the Wars, Books 5-6.15",1919,true,"",true,"New title: Volume III: History of the Wars, Books 5-6.15. (Gothic War)",http://books.google.com/books?id=ddZfAAAAMAAJ
L108,Thucydides,History of the Peleponnesian War I: Books 1-2,1956,false,true,true,"",http://www.archive.org/details/thucydideswithen01thucuoft
L109,Thucydides,History of the Peleponnesian War II: Books 3-4,1920,true,"",true,"",http://books.google.com/books?id=ZBsMAAAAIAAJ
L110,Thucydides,History of the Peleponnesian War III: Books 5-6,1921,true,"",true,"",http://books.google.com/books?id=pFIMAAAAIAAJ
L111,Tacitus,Histories I: Books 1-3,1962,false,true,true,New title: Volume II: Histories 1-3,http://www.archive.org/details/histories01taciuoft
L112,Marcus Cornelius Fronto,Correspondence of Marcus Cornelius Fronto with Marcus Aurelius Antoninus I,1919,true,"",true,New title: Correspondence I,http://books.google.com/books?id=BsYXAAAAMAAJ
L113,Marcus Cornelius Fronto,Correspondence of Marcus Cornelius Fronto with Marcus Aurelius Antoninus II,1920,true,"",true,New title: Correspondence II,http://www.archive.org/details/correspondenceof00fron http://books.google.com/books?id=Ao3YulNSO2EC
L114,Livy,Livy I: Books 1-2,1919,true,"",true,New title: History of Rome I: Books 1-2,http://www.archive.org/details/livy01livy
L115,Ausonius,Ausonius II: Poems 18-20. Paulinus Pellaeus: Eucharisticus,1921,true,"",true,New title: Volume II: Poems 18-20. Paulinus Pellaeus: Eucharisticus,http://www.archive.org/details/ausonius02auso http://books.google.com/books?id=u6YOlVtvJksC
L116,Sallust,War with Catiline. War with Jugurtha. Selections from the Histories. Doubtful Works,1921,true,"",true,"",http://books.google.com/books?id=7jgxJVKhaREC
L117,Herodotus,Herodotus I: Books 1-2,1920,true,"",true,New title: Persian Wars I: Books 1-2,http://www.archive.org/details/herodotus01hero http://books.google.com/books?id=wxsMAAAAIAAJ
L118,Herodotus,Herodotus II: Books 3-4,1921,true,"",true,New title: Persian Wars II: Books 3-4,http://books.google.com/books?id=bR0MAAAAIAAJ
L119,Herodotus,Herodotus III: Books 5-7,1922,true,"",true,New title: Persian Wars III: Books 5-7,http://books.google.com/books?id=Qh8MAAAAIAAJ
L120,Herodotus,Herodotus IV: Books 8-9,1925,false,true,true,New title: Persian Wars IV: Books 8-9,http://www.archive.org/details/herodotus04hero
L121,Apollodorus,The Library I: Books 1-3.9,1921,true,"",true,"",http://books.google.com/books?id=YKUNAAAAIAAJ
L122,Apollodorus,The Library II: Book 3.10-end. Epitome,1921,true,"",true,"",http://books.google.com/books?id=QKMNAAAAIAAJ
L123,Plato,Theaetetus. Sophist,1921,true,"",true,New title: Volume VII: Theaetetus. Sophist,http://www.archive.org/details/theaetetusandsop00plat http://books.google.com/books?id=f18MAAAAIAAJ
L124N,Quintilian,Quintilian I: Institutio Oratoria Books 1-3,1920,true,"",true,New title: Orator's Education I: Books 1-2,http://www.archive.org/details/institutioorator00quin http://books.google.com/books?id=EpdfAAAAMAAJ
L125N,Quintilian,Quintilian II: Institutio Oratoria Books 4-6,1921,true,"",true,New title: Orator's Education II: Books 3-5,http://books.google.com/books?id=fpdfAAAAMAAJ
L126N,Quintilian,Quintilian III: Institutio Oratoria Books 7-9,1922,true,"",true,New title: Orator's Education III: Books 6-8,http://books.google.com/books?id=AkUFAQAAIAAJ
L127N,Quintilian,Quintilian IV: Institutio Oratoria Books 10-12,1922,true,"",true,New title: Orator's Education IV: Books 9-10,http://books.google.com/books?id=gJhfAAAAMAAJ
L128,Polybius,Histories I: Books 1-2,1922,true,"",true,"",http://www.archive.org/details/historieswitheng01poly http://books.google.com/books?id=UaENN3WvxI0C
L129,Callimachus,Callimachus and Lycophron. Aratus,1921,true,"",true,"New title: Volume II: Hymns, Epigrams. Phaenomena. Alexandra",http://www.archive.org/details/callimachuslycop00calluoft http://books.google.com/books?id=bqVfAAAAMAAJ
L130,Lucian,Lucian III: The Dead Come to Life or The Fisherman. The Double Indictment or Trials by Jury. On Sacrifices. The Ignorant Book Collector. The Dream or Lucian's Career. The Parasite. The Lover of Lies. The Judgement of the Goddesses…,1921,true,"",true,New title: Volume III: The Dead Come to Life or The Fisherman. The Double Indictment or Trials by Jury. On Sacrifices. The Ignorant Book Collector. The Dream or Lucian's Career. The Parasite. The Lover of Lies. The Judgement of the Goddesses…,http://www.archive.org/details/lucianhar03luciuoft http://books.google.com/books?id=4RLYi8psjpcC
L131,Epictetus,"Discourses, Books 1-2",1925,false,true,true,New title: Discourses I: Books 1-2,http://www.archive.org/details/epictetusthedisc010837mbp
L132,Menander,Principal Fragments: Arbitrants. Girl from Samos. Girl Who Gets Her Hair Cut Short. Hero. Fragments. Unidentified Comedy,1921,true,"",true,New title: Volume I: Aspis. Georgos. Dis Exapaton. Dyskolos. Encheiridion. Epitrepontes,http://books.google.com/books?id=nqC7tszyfD8C
L133,Livy,Livy II: Books 3-4,1922,true,"",true,New title: History of Rome II: Books 3-4,http://www.archive.org/details/livy02livy
L134,Philostratus,Lives of the Sophists. Eunapius: Lives of the Philosophers and Sophists,1922,true,"",true,"",http://books.google.com/books?id=NeYNAQAAIAAJ
L135,Claudian,Panegyric on Probinus and Olybrius. Against Rufinus 1 and 2. War Against Gildo. Against Eutropius 1 and 2. Fescennine Verses on the Marriage of Honorius. Epithalamium of Honorius and Maria. Panegyrics on the Third and Fourth Consulships of Honorius. Paneg,1922,true,"",true,New title: Volume I: Panegyric on Probinus and Olybrius. Against Rufinus 1 and 2. War Against Gildo. Against Eutropius 1 and 2. Fescennine Verses on the Marriage of Honorius. Epithalamium of Honorius and Maria…,http://www.archive.org/details/claudian01clau http://books.google.com/books?id=-xoMAAAAIAAJ
L136,Claudian,On Stilicho's Consulship 2-3. Panegyric on the Sixth Consulship of Honorius. The Gothic War. Shorter Poems. Rape of Proserpina,1922,true,"",true,New title: Volume II: On Stilicho's Consulship 2-3. Panegyric on the Sixth Consulship of Honorius. The Gothic War. Shorter Poems. Rape of Proserpina,http://www.archive.org/details/claudian02clau http://books.google.com/books?id=KBsMAAAAIAAJ
L137,Polybius,Histories II: Books 3-4,1922,true,"",true,"",http://www.archive.org/details/historieswitheng02poly http://books.google.com/books?id=NWdiAAAAMAAJ
L138,Polybius,Histories III: Books 5-8,1923,false,true,true,"",http://www.archive.org/details/historieswitheng03poly
L139,"",Scriptores Historiae Augustae I: Hadrian. Aelius. Antoninus Pius. Marcus Aurelius. L. Verus. Avidius Cassius. Commodus. Pertinax. Didius Julianus. Septimius Severus. Pescennius Niger. Clodius Albinus,1922,true,"",true,New title: Historia Augusta I: Hadrian. Aelius. Antoninus Pius. Marcus Aurelius. L. Verus. Avidius Cassius. Commodus. Pertinax. Didius Julianus. Septimius Severus. Pescennius Niger. Clodius Albinus,http://www.archive.org/details/scriptoreshistor01camb http://books.google.com/books?id=MhdvmnB7wVYC
L140,"",Scriptores Historiae Augustae II: Caracalla. Geta. Opellius Macrinus. Diadumenianus. Elagabalus. Severus Alexander. The Two Maximini. The Three Gordians. Maximus and Balbinus,1924,false,true,true,New title: Historia Augusta II: Caracalla. Geta. Opellius Macrinus. Diadumenianus. Elagabalus. Severus Alexander. The Two Maximini. The Three Gordians. Maximus and Balbinus,http://www.archive.org/details/scriptoreshistor02camb
L141,Cicero,Volume XVIII: Tusculan Disputations,,,"",false,"",""
