identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L260,Plautus,Plautus IV: The Little Carthaginian. Pseudolus. The Rope,1980,false,"",true,New title: Volume IV: The Little Carthaginian. Pseudolus. The Rope,http://www.archive.org/details/plautuswithengli04plauuoft
L261,Philo,Volume IV: On the Confusion of Tongues. On the Migration of Abraham. Who Is the Heir of Divine Things? On Mating with the Preliminary Studies,,,"",true,"",""
L262,Jerome,Select Letters,1933,false,true,true,"",http://www.archive.org/details/selectlettersofs00jerouoft
L263,"","Scriptores Historiae Augustae III: The Two Valerians. The Two Gallieni. The Thirty Pretenders. The Deified Claudius. The Deified Aurelian. Tacitus. Probus. Firmus, Saturninus, Proculus and Bonosus. Carus, Carinus and Numerian",1932,false,true,true,"New title: Historia Augusta III: The Two Valerians. The Two Gallieni. The Thirty Pretenders. The Deified Claudius. The Deified Aurelian. Tacitus. Probus. Firmus, Saturninus, Proculus and Bonosus. Carus, Carinus and Numerian",http://www.archive.org/details/scriptoreshistor03camb http://books.google.com/books?id=teHTdGpmuJIC
L264,Aristotle,Politics,1959,false,true,true,New title: Volume XXI: Politics,http://www.archive.org/details/politicsrackh00arisuoft
L265,Eusebius,Ecclesiastical History II: Books 6-10,1942,false,true,true,New title: Volume II: Books 6-10,http://www.archive.org/details/ecclesiasticalhi02euseuoft
L266,"","Papyri I: Private Documents (Agreements, Receipts, Wills, Letters, Memoranda, Accounts and Lists, and Others)",,,"",false,"",""
L267,Strabo,Geography VIII: Book 17 and General Index,1967,false,"",true,"",http://www.archive.org/details/geographyofstrab08strauoft
L268,Cicero,De Natura Deorum. Academica,1967,false,"",true,New title: Volume XIX: On the Nature of the Gods. Academics,http://www.archive.org/details/denaturadeorumac00ciceuoft
L269,Arrian,"Anabasis of Alexander, Books 5-7. Indica",,,"",false,"",""
L270,Basil,Basil IV: Letters 249-368. Address to Young Men on Greek Literature,1934,false,true,true,New title: Volume IV: Letters 249-368. Address to Young Men on Greek Literature,http://www.archive.org/details/letterswithengli04basiuoft
L271,Aristotle,Volume XVII: Metaphysics Books 1-9,,,"",false,"",""
L272,Pausanias,"Description of Greece III: Books 6-8.21 (Elis 2, Achaia, Arcadia)",,,"",false,"",""
L273,Sextus Empiricus,Volume I: Outlines of Pyrrhonism,,,"",false,"",""
L274,Athenaeus,The Deipnosophists V: Books 11-12,,,"",false,"",""
L275,Philo,Volume V: On Flight and Finding. On the Change of Names. On Dreams,,,"",true,"",""
L276,Plato,Republic II: Books 6-10,1942,false,true,true,"New title: Volume VI: The Republic, Books 6-10",http://www.archive.org/details/republicshorey02platuoft
L277,Silius Italicus,Punica I: Books 1-8,,,"",false,"",""
L278,Silius Italicus,Punica II: Books 9-17,,,"",false,"",""
L279,Diodorus Siculus,Library of History I: Books 1-2.34,,,"",false,"",""
L280,Vitruvius,On Architecture II: Books 6-10,,,"",false,"",""
L281,Josephus,Josephus V: Jewish Antiquities Books 5-8,1950,false,true,true,New title: Volume VII: Jewish Antiquities Books 7-8,http://www.archive.org/details/josephuswithengl05joseuoft
L282,"","Papyri II: Public Documents (Codes and Regulations, Edicts and Orders, Public Announcements, Reports of Meetings, Judicial Business, Petitions and Applications, Declarations to Officials, Contracts, Receipts, Accounts and Lists, Correspondence, and Other)",,,"",false,"",""
L283,Cato,On Agriculture,,,"",false,"",""
L284,Minor Latin Poets,Minor Latin Poets,1934,false,true,true,New title: Minor Latin Poets I: Publilius Syrus. Elegies on Maecenas. Grattius. Calpurnius Siculus. Laus Pisonis. Einsiedeln Eclogues. Aetna,http://www.archive.org/details/minorlatinpoetsw00duffuoft
L285,Aristotle,Athenian Constitution. Eudemian Ethics. Virtues and Vices,1935,false,true,true,New title: Volume XX: Athenian Constitution. Eudemian Ethics. Virtues and Vices,http://www.archive.org/details/athenianconstitu00arisuoft
L286,Valerius Flaccus,Argonautica,,,"",false,"",""
L287,Aristotle,Volume XVIII: Metaphysics Books 10-14,,,"",false,"",""
L288,Aristotle,Volume VIII: On the Soul. Parva Naturalia. On Breath,,,"",false,"",""
L289,Philo,Volume VI: On Abraham. On Joseph. On Moses,,,"",true,"",""
L290,Procopius,Volume VI: The Anecdota or Secret History,,,"",false,"",""
L291,Sextus Empiricus,Volume II: Against the Logicians,,,"",false,"",""
L292,Celsus,On Medicine I: Books 1-4,,,"",false,"",""
L293,Cicero,Volume VIII: The Verrine Orations II,,,"",false,"",""
L294,"",Remains of Old Latin I: Ennius. Caecilius,,,"",false,"",""
L295,Livy,History of Rome IX: Books 31-34,,,"",false,"",""
L296,Sidonius,"Volume I: Poems. Letters, Books 1-2",,,"",true,"",""
L297,Pausanias,"Description of Greece IV: Books 8.22-10 (Arcadia, Boeotia, Phocis and Ozolian Locri)",,,"",false,"",""
L298,Pausanias,"Description of Greece V: Maps, Plans, Ilustrations and General Index",,,"",false,"",""
L299,Demosthenes,Volume III: Against Meidias. Against Androtion. Against Aristocrates. Against Timocrates. Against Aristogeiton 1 and 2 (21-26),,,"",false,"",""
L300,Ammianus Marcellinus,Roman History I: Books 14-19,1935,false,true,true,"",http://www.archive.org/details/ammianusmarcelli01ammiuoft
L301,Livy,History of Rome X: Books 35-37,,,"",false,"",""
L302,Lucian,Lucian V: The Passing of Peregrinus. The Runaways. Toxaris or Friendship. The Dance. Lexiphanes. The Eunuch. Astrology. The Mistaken Critic. The Parliament of the Gods. The Tyrannicide. Disowned,1962,false,true,true,New title: Volume V: The Passing of Peregrinus. The Runaways. Toxaris or Friendship. The Dance. Lexiphanes. The Eunuch. Astrology. The Mistaken Critic. The Parliament of the Gods. The Tyrannicide. Disowned,http://www.archive.org/details/lucianhar05luciuoft
L303,Diodorus Siculus,Diodorus Siculus II: Books 2.35-4.58,1935,false,true,true,New title: Library of History II: Books 2.35-4.58,http://www.archive.org/details/diodorusofsicily02dioduoft
L304,Celsus,De Medicina II: Books 5-6,1961,false,true,true,New title: On Medicine II: Books 5-6,http://www.archive.org/details/demedicina02celsuoft
L305,Plutarch,Moralia IV: Roman Questions. Greek Questions. Greek and Roman Parallel Stories. On the Fortune of the Romans. On the Fortune or the Virtue of Alexander. Were the Athenians More Famous in War or in Wisdom?,,,"",true,"",http://www.archive.org/details/moraliainfifteen04plutuoft
L306,Plutarch,Moralia V: Isis and Osiris. The E at Delphi. The Oracles at Delphi No Longer Given in Verse. The Obsolescence of Oracles,,,"",true,"",""
L307,Aristotle,Minor Works,1960,false,true,true,New title: Volume XIV: Minor Works,http://www.archive.org/details/minorworks00arisuoft
L308,Antiphon,Minor Attic Orators,,,"",false,"",""
L309,Cicero,Volume XII: Pro Sestio. In Vatinium,,,"",false,"",""
L310,Seneca,Volume III: Moral Essays: De Beneficiis,,,"",false,"",""
L311,Sextus Empiricus,Volume III: Against the Physicists. Against the Ethicists,,,"",false,"",""
L312,Tacitus,"Volume IV: Annals 4-6, 11-12",,,"",false,"",""
L313,Livy,Livy XI: Books 38-39,1936,false,true,true,New title: History of Rome XI: Books 38-39,http://www.archive.org/details/livywithenglisht11livyuoft
L314,"",Remains of Old Latin II: Livius Andronicus. Naevius. Pacuvius. Accius,,,"",false,"",""
L315,Ammianus Marcellinus,Roman History II: Books 20-26,,,"",false,"",""
L316,Aristotle,Volume XV: Problems Books 1-21,,,"",false,"",""
L317,Aristotle,Problems II: Books 22-38,1957,false,true,true,New title: Volume XVI: Problems Books 22-38,http://www.archive.org/details/problems02arisuoft
L318,Demosthenes,Volume IV: Orations (27-40),,,"",false,"",""
L319,Dionysius of Halicarnassus,Roman Antiquities I: Books 1-2,,,"",false,"",""
L320,Philo,"Volume VII: On the Decalogue. On the Special Laws, Books 1-3",,,"",true,"",""
L321,Plutarch,"Moralia X: Love Stories. That a Philosopher Ought to Converse Especially With Men in Power. To an Uneducated Ruler. Whether an Old Man Should Engage in Public Affairs. Precepts of Statecraft. On Monarchy, Democracy, and Oligarchy",,,"",true,"",http://www.archive.org/details/moraliainfifteen10plutuoft
L322,Tacitus,Volume V: Annals 13-16,,,"",false,"",""
L323,Aristotle,Parts of Animals. Movement of Animals. Progression of Animals,1961,false,true,true,New title: Volume XII: Parts of Animals. Movement of Animals. Progression of Animals,http://www.archive.org/details/partsofanimals00aris
L324,Cicero,Volume X: In Catilinam 1-4. Pro Murena. Pro Sulla. Pro Flacco,,,"",false,"",""
L325,Aristotle,Volume I: Categories. On Interpretation. Prior Analytics,,,"",false,"",""
L326,Josephus,Josephus VI: Jewish Antiquities Books 9-11,1958,false,true,true,New title: Volume VIII: Jewish Antiquities Books 9-11,http://www.archive.org/details/josephuswithengl06joseuoft
L327,Athenaeus,The Deipnosophists VI: Books 13-14.653b,,,"",false,"",""
L328,Plautus,Plautus V: Stichus. Trinummus (Three Bob Day). Truculentus. The Tale of a Travelling Bag. Fragments,1952,false,true,true,New title: Volume V: Stichus. Trinummus (Three Bob Day). Truculentus. The Tale of a Travelling Bag. Fragments,http://www.archive.org/details/plautuswithengli05plauuoft
L329,"",Remains of Old Latin III: Lucilius. The Twelve Tables,,,"",false,"",""
L330,Pliny,Natural History I: Books 1-2,1967,false,"",true,"",http://www.archive.org/details/naturalhistory01plinuoft
L331,Ammianus Marcellinus,Roman History III: Books 27-31. Excerpta Valesiana,,,"",false,"",""
L332,Livy,History of Rome XII: Books 40-42,,,"",false,"",""
L333,Varro,On the Latin Language I: Books 5-7,1938,false,true,true,"",http://www.archive.org/details/onlatinlanguage01varruoft
L334,Varro,On the Latin Language II: Books 8-10. Fragments,1938,false,true,true,"",http://www.archive.org/details/onlatinlanguage02varruoft
L335,"",Greek Mathematical Works I: From Thales to Euclid,,,"",false,"",""
L336,Celsus,De Medicina III: Books 7-8,1961,false,true,true,New title: On Medicine III: Books 7-8,http://www.archive.org/details/demedicina03celsuoft
L337,Plutarch,Moralia VI: Can Virtue Be Taught? On Moral Virtue. On the Control of Anger. On Tranquility of Mind. On Brotherly Love. On Affection for Offspring. Whether Vice Be Sufficient to Cause Unhappiness…,,,"",true,"",http://www.archive.org/details/moraliainfifteen06plutuoft
L338,Aristotle,Volume VI: On the Heavens,,,"",false,"",""
L339,Dio Chrysostom,Volume II: Discourses 12-30,,,"",false,"",""
L340,Diodorus Siculus,Library of History III: Books 4.59-8,,,"",false,"",""
L341,Philo,"Volume VIII: On the Special Laws, Book 4. On the Virtues. On Rewards and Punishments",,,"",true,"",""
L342,Cicero,Volume V: Brutus. Orator,,,"",false,"",""
L343,Procopius,Volume VII: On Buildings. General Index,,,"",false,"",""
L344,Nonnos,Volume I: Books 1-15,,,"",false,"",""
L345,Athenaeus,The Deipnosophists VII: Books 14.653b-15,,,"",false,"",""
L346,Demosthenes,Volume V: Private Orations (41-49),,,"",false,"",""
L347,Dionysius of Halicarnassus,Roman Antiquities II: Books 3-4,,,"",false,"",""
L348,Cicero,Volume III: On the Orator Books 1-2,,,"",false,"",""
L349,Cicero,Volume IV: On the Orator: Book 3. On Fate. Stoic Paradoxes. On the Divisions of Oratory,,,"",false,"",""
L350,Manetho,History of Egypt and Other Works,1964,false,"",true,"",http://www.archive.org/details/manethowithengli00maneuoft
L351,Demosthenes,Volume VI: Private Orations (50-58). In Neaeram (59),,,"",false,"",""
